roi,cycle_index,cell_id,t_start,t_end,x1,x2,t_x1,t_x2,move_s,speed_px_per_s,speed_um_per_s
left,0,0,6.160673855935344,7.100594689943434,229.6348544642857,222.4306205357143,6.165605095541402,6.165605095541402,,,
left,1,0,14.160673855935343,15.100594689943435,229.6348544642857,222.4306205357143,14.165605095541402,14.165605095541402,,,
left,2,0,22.160673855935343,23.100594689943435,229.6348544642857,222.4306205357143,,,,,
left,3,0,30.160673855935343,31.100594689943435,229.6348544642857,222.4306205357143,,,,,
left,4,0,38.16067385593534,39.100594689943435,229.6348544642857,222.4306205357143,,,,,
left,5,0,46.16067385593534,47.100594689943435,229.6348544642857,222.4306205357143,,,,,
left,6,0,54.16067385593534,55.100594689943435,229.6348544642857,222.4306205357143,,,,,
left,7,0,62.16067385593534,63.100594689943435,229.6348544642857,222.4306205357143,,,,,
left,0,1,6.160673855935344,7.100594689943434,229.6348544642857,222.4306205357143,,,,,
left,1,1,14.160673855935343,15.100594689943435,229.6348544642857,222.4306205357143,,,,,
left,2,1,22.160673855935343,23.100594689943435,229.6348544642857,222.4306205357143,,,,,
left,3,1,30.160673855935343,31.100594689943435,229.6348544642857,222.4306205357143,,,,,
left,4,1,38.16067385593534,39.100594689943435,229.6348544642857,222.4306205357143,,,,,
left,5,1,46.16067385593534,47.100594689943435,229.6348544642857,222.4306205357143,,,,,
left,6,1,54.16067385593534,55.100594689943435,229.6348544642857,222.4306205357143,,,,,
left,7,1,62.16067385593534,63.100594689943435,229.6348544642857,222.4306205357143,,,,,
left,0,2,6.160673855935344,7.100594689943434,229.6348544642857,222.4306205357143,,,,,
left,1,2,14.160673855935343,15.100594689943435,229.6348544642857,222.4306205357143,,,,,
left,2,2,22.160673855935343,23.100594689943435,229.6348544642857,222.4306205357143,,,,,
left,3,2,30.160673855935343,31.100594689943435,229.6348544642857,222.4306205357143,,,,,
left,4,2,38.16067385593534,39.100594689943435,229.6348544642857,222.4306205357143,,,,,
left,5,2,46.16067385593534,47.100594689943435,229.6348544642857,222.4306205357143,,,,,
left,6,2,54.16067385593534,55.100594689943435,229.6348544642857,222.4306205357143,,,,,
left,7,2,62.16067385593534,63.100594689943435,229.6348544642857,222.4306205357143,,,,,
left,0,3,6.160673855935344,7.100594689943434,229.6348544642857,222.4306205357143,,,,,
left,1,3,14.160673855935343,15.100594689943435,229.6348544642857,222.4306205357143,,,,,
left,2,3,22.160673855935343,23.100594689943435,229.6348544642857,222.4306205357143,,,,,
left,3,3,30.160673855935343,31.100594689943435,229.6348544642857,222.4306205357143,,,,,
left,4,3,38.16067385593534,39.100594689943435,229.6348544642857,222.4306205357143,,,,,
left,5,3,46.16067385593534,47.100594689943435,229.6348544642857,222.4306205357143,,,,,
left,6,3,54.16067385593534,55.100594689943435,229.6348544642857,222.4306205357143,,,,,
left,7,3,62.16067385593534,63.100594689943435,229.6348544642857,222.4306205357143,,,,,
left,0,4,6.160673855935344,7.100594689943434,229.6348544642857,222.4306205357143,,,,,
left,1,4,14.160673855935343,15.100594689943435,229.6348544642857,222.4306205357143,,,,,
left,2,4,22.160673855935343,23.100594689943435,229.6348544642857,222.4306205357143,,,,,
left,3,4,30.160673855935343,31.100594689943435,229.6348544642857,222.4306205357143,,,,,
left,4,4,38.16067385593534,39.100594689943435,229.6348544642857,222.4306205357143,,,,,
left,5,4,46.16067385593534,47.100594689943435,229.6348544642857,222.4306205357143,,,,,
left,6,4,54.16067385593534,55.100594689943435,229.6348544642857,222.4306205357143,,,,,
left,7,4,62.16067385593534,63.100594689943435,229.6348544642857,222.4306205357143,,,,,
left,0,5,6.160673855935344,7.100594689943434,229.6348544642857,222.4306205357143,,,,,
left,1,5,14.160673855935343,15.100594689943435,229.6348544642857,222.4306205357143,,,,,
left,2,5,22.160673855935343,23.100594689943435,229.6348544642857,222.4306205357143,,,,,
left,3,5,30.160673855935343,31.100594689943435,229.6348544642857,222.4306205357143,,,,,
left,4,5,38.16067385593534,39.100594689943435,229.6348544642857,222.4306205357143,,,,,
left,5,5,46.16067385593534,47.100594689943435,229.6348544642857,222.4306205357143,,,,,
left,6,5,54.16067385593534,55.100594689943435,229.6348544642857,222.4306205357143,,,,,
left,7,5,62.16067385593534,63.100594689943435,229.6348544642857,222.4306205357143,,,,,
left,0,6,6.160673855935344,7.100594689943434,229.6348544642857,222.4306205357143,6.617834394904459,6.8152866242038215,0.1974522292993628,36.48595892857132,55.44205592495857
left,1,6,14.160673855935343,15.100594689943435,229.6348544642857,222.4306205357143,14.496815286624203,14.681528662420382,0.18471337579617852,39.00223195812787,59.26564598874867
left,2,6,22.160673855935343,23.100594689943435,229.6348544642857,222.4306205357143,22.656050955414013,22.821656050955415,0.16560509554140168,43.50248949175795,66.10398975668112
left,3,6,30.160673855935343,31.100594689943435,229.6348544642857,222.4306205357143,30.687898089171973,30.86624203821656,0.17834394904458506,40.39516881377555,61.38227620263294
left,4,6,38.16067385593534,39.100594689943435,229.6348544642857,222.4306205357143,38.7515923566879,38.92356687898089,0.1719745222929916,41.89128617724899,63.65569383976791
left,5,6,46.16067385593534,47.100594689943435,229.6348544642857,222.4306205357143,46.77707006369427,46.98089171974522,0.20382165605095537,35.34577271205343,53.70949167730356
left,6,6,54.16067385593534,55.100594689943435,229.6348544642857,222.4306205357143,54.77707006369427,54.98089171974522,0.20382165605095537,35.34577271205343,53.70949167730356
left,7,6,62.16067385593534,63.100594689943435,229.6348544642857,222.4306205357143,62.961783439490446,,,,
