roi,cycle_index,cell_id,t_start,t_end,move_s,x_start,x_end,speed_px_per_s,speed_um_per_s
left,0,1,6.5346526775055676,6.621445818168571,0.08679314066300314,,,,
left,1,1,14.534652677505568,14.62144581816857,0.08679314066300314,,,,
left,2,1,22.53465267750557,22.62144581816857,0.08679314066300137,,,,
left,3,1,30.53465267750557,30.62144581816857,0.08679314066300137,,,,
left,4,1,38.53465267750557,38.62144581816857,0.08679314066299781,,,,
left,5,1,46.53465267750557,46.62144581816857,0.08679314066299781,,,,
left,6,1,54.53465267750557,54.62144581816857,0.08679314066299781,,,,
left,7,1,62.53465267750557,62.62144581816857,0.08679314066299781,,,,
left,0,2,6.5346526775055676,6.621445818168571,0.08679314066300314,231.0,230.0,11.52164782102723,17.46914160078999
left,1,2,14.534652677505568,14.62144581816857,0.08679314066300314,232.0,231.0,11.52164782102723,17.46914160078999
left,2,2,22.53465267750557,22.62144581816857,0.08679314066300137,232.0,231.0,11.521647821027466,17.469141600790348
left,3,2,30.53465267750557,30.62144581816857,0.08679314066300137,232.0,232.0,0.0,0.0
left,4,2,38.53465267750557,38.62144581816857,0.08679314066299781,232.0,232.0,0.0,0.0
left,5,2,46.53465267750557,46.62144581816857,0.08679314066299781,233.0,233.0,0.0,0.0
left,6,2,54.53465267750557,54.62144581816857,0.08679314066299781,232.0,232.0,0.0,0.0
left,7,2,62.53465267750557,62.62144581816857,0.08679314066299781,232.0,232.0,0.0,0.0
left,0,3,6.5346526775055676,6.621445818168571,0.08679314066300314,231.94047036837412,231.0,10.835768370518377,16.429210036474657
left,1,3,14.534652677505568,14.62144581816857,0.08679314066300314,232.0,231.0,11.52164782102723,17.46914160078999
left,2,3,22.53465267750557,22.62144581816857,0.08679314066300137,,,,
left,3,3,30.53465267750557,30.62144581816857,0.08679314066300137,,,,
left,4,3,38.53465267750557,38.62144581816857,0.08679314066299781,,,,
left,5,3,46.53465267750557,46.62144581816857,0.08679314066299781,,,,
left,6,3,54.53465267750557,54.62144581816857,0.08679314066299781,,,,
left,7,3,62.53465267750557,62.62144581816857,0.08679314066299781,,,,
left,0,4,6.5346526775055676,6.621445818168571,0.08679314066300314,232.0,231.0,11.52164782102723,17.46914160078999
left,1,4,14.534652677505568,14.62144581816857,0.08679314066300314,232.0,232.0,0.0,0.0
left,2,4,22.53465267750557,22.62144581816857,0.08679314066300137,232.0,232.0,0.0,0.0
left,3,4,30.53465267750557,30.62144581816857,0.08679314066300137,232.0,232.0,0.0,0.0
left,4,4,38.53465267750557,38.62144581816857,0.08679314066299781,232.0,232.0,0.0,0.0
left,5,4,46.53465267750557,46.62144581816857,0.08679314066299781,232.0,232.0,0.0,0.0
left,6,4,54.53465267750557,54.62144581816857,0.08679314066299781,,,,
left,7,4,62.53465267750557,62.62144581816857,0.08679314066299781,,,,
left,0,5,6.5346526775055676,6.621445818168571,0.08679314066300314,232.0,232.0,0.0,0.0
left,1,5,14.534652677505568,14.62144581816857,0.08679314066300314,232.0,232.0,0.0,0.0
left,2,5,22.53465267750557,22.62144581816857,0.08679314066300137,232.0,232.0,0.0,0.0
left,3,5,30.53465267750557,30.62144581816857,0.08679314066300137,232.0,232.0,0.0,0.0
left,4,5,38.53465267750557,38.62144581816857,0.08679314066299781,232.0,233.0,11.521647821027937,17.469141600791062
left,5,5,46.53465267750557,46.62144581816857,0.08679314066299781,232.0,232.0,0.0,0.0
left,6,5,54.53465267750557,54.62144581816857,0.08679314066299781,,,,
left,7,5,62.53465267750557,62.62144581816857,0.08679314066299781,,,,
left,0,6,6.5346526775055676,6.621445818168571,0.08679314066300314,231.0,228.0,34.56494346308169,52.407424802369974
left,1,6,14.534652677505568,14.62144581816857,0.08679314066300314,231.0,230.0,11.52164782102723,17.46914160078999
left,2,6,22.53465267750557,22.62144581816857,0.08679314066300137,231.0,230.0,11.521647821027466,17.469141600790348
left,3,6,30.53465267750557,30.62144581816857,0.08679314066300137,231.0,231.0,0.0,0.0
left,4,6,38.53465267750557,38.62144581816857,0.08679314066299781,231.0,231.0,0.0,0.0
left,5,6,46.53465267750557,46.62144581816857,0.08679314066299781,231.0,231.0,0.0,0.0
left,6,6,54.53465267750557,54.62144581816857,0.08679314066299781,231.0,231.0,0.0,0.0
left,7,6,62.53465267750557,62.62144581816857,0.08679314066299781,232.0,232.0,0.0,0.0
left,0,7,6.5346526775055676,6.621445818168571,0.08679314066300314,230.0,,,
left,1,7,14.534652677505568,14.62144581816857,0.08679314066300314,,,,
left,2,7,22.53465267750557,22.62144581816857,0.08679314066300137,,,,
left,3,7,30.53465267750557,30.62144581816857,0.08679314066300137,,,,
left,4,7,38.53465267750557,38.62144581816857,0.08679314066299781,,,,
