roi,cycle_index,cell_id,t_start,t_end,x1,x2,t_x1,t_x2,move_s,speed_px_per_s,speed_um_per_s
left,0,2,6.000569866502806,7.57526582957281,231.05175605867348,221.72100605867348,6.292993630573249,7.222929936305732,0.9299363057324834,10.033751712328769,15.21315414029043
left,2,2,22.000569866502808,23.57526582957281,231.05175605867348,221.72100605867348,22.630573248407643,23.356687898089177,0.7261146496815343,12.850243421052525,19.48351319721389
left,3,2,30.000569866502808,31.57526582957281,231.05175605867348,221.72100605867348,30.343949044585987,30.503184713375795,0.15923566878980822,58.59711000000023,88.84482017929643
left,0,5,6.000569866502806,7.57526582957281,231.05175605867348,221.72100605867348,6.3312101910828025,6.464968152866242,0.13375796178343968,69.75846428571414,105.76764307059037
left,2,7,22.000569866502808,23.57526582957281,231.05175605867348,221.72100605867348,22.254777070063696,22.445859872611464,0.19108280254776844,48.83092500000055,74.03735014941424
left,4,7,38.00056986650281,39.575265829572814,231.05175605867348,221.72100605867348,38.5859872611465,39.0,0.41401273885350065,22.537350000000124,34.17108468434484
left,0,8,6.000569866502806,7.57526582957281,231.05175605867348,221.72100605867348,6.764331210191083,7.057324840764331,0.2929936305732488,31.84625543478255,48.285228358313
left,2,8,22.000569866502808,23.57526582957281,231.05175605867348,221.72100605867348,23.10828025477707,23.280254777070063,0.1719745222929916,54.25658333333394,82.26372238823804
left,3,8,30.000569866502808,31.57526582957281,231.05175605867348,221.72100605867348,31.127388535031848,31.554140127388536,0.4267515923566876,21.864593283582092,33.1510523057075
left,0,10,6.000569866502806,7.57526582957281,231.05175605867348,221.72100605867348,6.2165605095541405,6.286624203821656,0.07006369426751569,133.17525000000037,201.92004586203714
left,1,10,14.000569866502806,15.57526582957281,231.05175605867348,221.72100605867348,14.32484076433121,14.40127388535032,0.07643312101911093,122.0773124999957,185.093375373527
left,0,14,6.000569866502806,7.57526582957281,231.05175605867348,221.72100605867348,6.280254777070064,6.414012738853503,0.13375796178343968,69.75846428571414,105.76764307059037
left,1,17,14.000569866502806,15.57526582957281,231.05175605867348,221.72100605867348,14.312101910828025,14.547770700636942,0.23566878980891737,39.592641891891844,60.03028390492972
left,0,21,6.000569866502806,7.57526582957281,231.05175605867348,221.72100605867348,6.159235668789809,6.318471337579618,0.1592356687898091,58.5971099999999,88.84482017929594
left,0,28,6.000569866502806,7.57526582957281,231.05175605867348,221.72100605867348,6.305732484076433,6.426751592356688,0.12101910828025453,77.1014605263159,116.9010791832845
left,1,28,14.000569866502806,15.57526582957281,231.05175605867348,221.72100605867348,14.222929936305732,14.32484076433121,0.10191082802547768,91.55798437499998,138.8200315301501
left,0,31,6.000569866502806,7.57526582957281,231.05175605867348,221.72100605867348,6.305732484076433,6.649681528662421,0.34394904458598763,27.128291666666623,41.13186119411849
left,0,35,6.000569866502806,7.57526582957281,231.05175605867348,221.72100605867348,6.789808917197452,7.414012738853503,0.6242038216560513,14.948242346938759,22.664494943697957
left,1,35,14.000569866502806,15.57526582957281,231.05175605867348,221.72100605867348,14.331210191082803,14.821656050955411,0.490445859872608,19.02503571428584,28.845720837433984
left,2,35,22.000569866502808,23.57526582957281,231.05175605867348,221.72100605867348,22.668789808917197,23.15286624203822,0.48407643312102167,19.275365131578834,29.22526979582091
left,3,35,30.000569866502808,31.57526582957281,231.05175605867348,221.72100605867348,30.37579617834395,30.484076433121015,0.10828025477706404,86.17222058824004,130.65414732250144
left,0,36,6.000569866502806,7.57526582957281,231.05175605867348,221.72100605867348,6.165605095541402,6.267515923566879,0.10191082802547768,91.55798437499998,138.8200315301501
left,0,39,6.000569866502806,7.57526582957281,231.05175605867348,221.72100605867348,6.165605095541402,6.318471337579618,0.15286624203821653,61.03865624999998,92.54668768676673
left,0,40,6.000569866502806,7.57526582957281,231.05175605867348,221.72100605867348,6.624203821656051,7.1528662420382165,0.5286624203821653,17.649731927710846,26.76048800581208
left,1,40,14.000569866502806,15.57526582957281,231.05175605867348,221.72100605867348,14.821656050955411,15.305732484076431,0.4840764331210199,19.275365131578905,29.225269795821017
left,2,40,22.000569866502808,23.57526582957281,231.05175605867348,221.72100605867348,22.54140127388535,22.694267515923567,0.1528662420382183,61.03865624999927,92.54668768676565
left,0,42,6.000569866502806,7.57526582957281,231.05175605867348,221.72100605867348,6.414012738853503,6.496815286624204,0.08280254777070084,112.68674999999966,170.85542342172275
left,0,46,6.000569866502806,7.57526582957281,231.05175605867348,221.72100605867348,6.32484076433121,6.43312101910828,0.10828025477707026,86.17222058823509,130.65414732249394
left,1,46,14.000569866502806,15.57526582957281,231.05175605867348,221.72100605867348,14.375796178343949,14.452229299363058,0.07643312101910915,122.07731249999854,185.0933753735313
left,2,46,22.000569866502808,23.57526582957281,231.05175605867348,221.72100605867348,22.43949044585987,22.515923566878985,0.07643312101911448,122.07731249999003,185.0933753735184
left,0,47,6.000569866502806,7.57526582957281,231.05175605867348,221.72100605867348,6.32484076433121,6.407643312101911,0.08280254777070084,112.68674999999966,170.85542342172275
left,1,47,14.000569866502806,15.57526582957281,231.05175605867348,221.72100605867348,14.26751592356688,14.40764331210191,0.14012738853503137,66.58762500000019,100.96002293101857
left,0,49,6.000569866502806,7.57526582957281,231.05175605867348,221.72100605867348,6.547770700636943,6.592356687898089,0.044585987261146265,209.27539285714383,317.30292921177323
left,1,49,14.000569866502806,15.57526582957281,231.05175605867348,221.72100605867348,15.038216560509554,15.114649681528665,0.07643312101911093,122.0773124999957,185.093375373527
